Source identifier ,Plume latitude (deg),Plume longitude (deg),Candidate identifier,Date of detection,Time of detection (UTC),Source type (best estimate),Sectors (IPCC),Qplume (kg/hr): Plume emissions,Sigma Qplume (kg/hr): Uncertainty for plume emissions
S00908,38.04037,-122.251754,ang20171005t183733-A,10/5/17,18:37,refinery,1A1 Energy Industries,18,18
S00909,33.90863,-118.285363,ang20171023t212029-B,10/23/17,21:20,oil/gas tank,1B2 Oil & Natural Gas,,
S00910,35.438844,-119.132434,ang20170902t182501-B,9/2/17,18:25,oil/gas tank,1B2 Oil & Natural Gas,50,16
S00911,35.43464,-119.141121,ang20170902t182501-A,9/2/17,18:25,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,172,24
S00914,32.694343,-117.146467,ang20170925t212203-A,9/25/17,21:22,powerplant,1A1 Energy Industries,515,105
S00916,35.137947,-119.303362,ang20170906t221029-A,9/6/17,22:10,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,297,75
S00917,35.432578,-119.143425,ang20170905t183328-B,9/5/17,18:33,oil/gas tank,1B2 Oil & Natural Gas,113,35
S00918,33.811204,-118.174816,ang20170901t221701-D,9/1/17,22:17,gas processing plant,1B2 Oil & Natural Gas,528,243
S00919,37.952957,-122.399376,ang20170910t212834-B,9/10/17,21:28,refinery,1A1 Energy Industries,159,87
S00920,32.85222649,-117.1631904,ang20170925t214642-A,9/25/17,21:46,landfill,4A1 Managed Waste Disposal Sites,548,117
S00921,37.494482,-120.964547,ang20170930t191727-A,9/30/17,19:17,dairy/manure,3A2 Manure Management,144,56
S00922,37.49454,-120.981175,ang20170930t191727-B,9/30/17,19:17,dairy/manure,3A2 Manure Management,55,19
S00923,34.338188,-119.012845,ang20170907t202408-A,9/7/17,20:24,oil/gas gathering line,1B2 Oil & Natural Gas,404,50
S00924,34.361764,-118.922194,ang20170907t202408-B,9/7/17,20:24,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,115,17
S00925,34.261674,-118.407605,ang20170907t215503-C,9/7/17,21:55,gas distribution line,1B2 Oil & Natural Gas,92,21
S00927,34.24686,-118.389803,ang20170907t215503-B,9/7/17,21:55,powerplant,1A1 Energy Industries,96,28
S00928,37.75567,-121.65272,ang20171006t184157-I,10/6/17,18:41,landfill,4A1 Managed Waste Disposal Sites,69,18
S00928,37.75567,-121.65272,ang20171006t185859-I,10/6/17,18:58,landfill,4A1 Managed Waste Disposal Sites,138,72
S00928,37.75567,-121.65272,ang20171006t190448-F,10/6/17,19:04,landfill,4A1 Managed Waste Disposal Sites,73,33
S00929,34.429025,-118.589925,ang20171016t191057-D,10/16/17,19:10,wastewater treatment,4D1 Domestic Wastewater Treatment & Discharge,90,28
S00929,34.429025,-118.589925,ang20171016t192001-D,10/16/17,19:20,wastewater treatment,4D1 Domestic Wastewater Treatment & Discharge,70,43
S00929,34.429025,-118.589925,ang20171026t191727-B,10/26/17,19:17,wastewater treatment,4D1 Domestic Wastewater Treatment & Discharge,11,5
S00929,34.429025,-118.589925,ang20171026t193733-A,10/26/17,19:37,wastewater treatment,4D1 Domestic Wastewater Treatment & Discharge,,
S00929,34.429025,-118.589925,ang20171026t194512-A,10/26/17,19:45,wastewater treatment,4D1 Domestic Wastewater Treatment & Discharge,,
S00929,34.429025,-118.589925,ang20171108t182106-C,11/8/17,18:21,wastewater treatment,4D1 Domestic Wastewater Treatment & Discharge,86,32
S00930,34.298472,-119.299644,ang20171016t210259-A,10/16/17,21:02,oil/gas compressor,1B2 Oil & Natural Gas,344,81
S00932,35.012202,-118.962377,ang20170905t221016-A,9/5/17,22:10,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,1133,133
S00934,33.80501,-118.272387,ang20171024t205748-B,10/24/17,20:57,oil/gas pumpjack,1B2 Oil & Natural Gas,1009,254
S00935,33.774727,-118.290496,ang20171024t183630-B,10/24/17,18:36,refinery,1A1 Energy Industries,783,214
S00936,33.804214,-118.243943,ang20170901t203520-A,9/1/17,20:35,refinery,1A1 Energy Industries,67,37
S00936,33.804214,-118.243943,ang20170901t220350-D,9/1/17,22:03,refinery,1A1 Energy Industries,185,55
S00936,33.804214,-118.243943,ang20170922t224720-C,9/22/17,22:47,refinery,1A1 Energy Industries,406,239
S00938,33.805126,-118.245934,ang20170911t194546-D,9/11/17,19:45,refinery,1A1 Energy Industries,60,20
S00939,33.783465,-118.234373,ang20170918t230442-A,9/18/17,23:04,refinery,1A1 Energy Industries,226,83
S00940,33.776328,-118.22919,ang20170309t222247-A,3/9/17,22:22,refinery,1A1 Energy Industries,173,90
S00940,33.776328,-118.22919,ang20171023t205826-A,10/23/17,20:58,refinery,1A1 Energy Industries,51,28
S00941,33.804504,-118.244504,ang20171023t205826-C,10/23/17,20:58,refinery,1A1 Energy Industries,228,142
S00941,33.804504,-118.244504,ang20171023t213857-A,10/23/17,21:38,refinery,1A1 Energy Industries,,
S00941,33.804504,-118.244504,ang20171024t190959-B,10/24/17,19:09,refinery,1A1 Energy Industries,422,146
S00943,33.803642,-118.284674,ang20170901t205911-A,9/1/17,20:59,wastewater treatment,4D1 Domestic Wastewater Treatment & Discharge,480,264
S00943,33.803642,-118.284674,ang20171024t204657-A,10/24/17,20:46,wastewater treatment,4D1 Domestic Wastewater Treatment & Discharge,358,154
S00943,33.803642,-118.284674,ang20171024t215215-A,10/24/17,21:52,wastewater treatment,4D1 Domestic Wastewater Treatment & Discharge,148,56
S00944,33.80225,-118.279252,ang20171024t215215-B,10/24/17,21:52,wastewater treatment,4D1 Domestic Wastewater Treatment & Discharge,39,24
S00945,37.952676,-122.397325,ang20171005t174154-C,10/5/17,17:41,refinery,1A1 Energy Industries,,
S00947,37.919101,-122.366709,ang20171005t180614-B,10/5/17,18:06,gas LNG station,1B2 Oil & Natural Gas,51,19
