Source identifier ,Source latitude (deg),Source longitude (deg),Vista ID,Source type ,IPCC sector,N overflights,Source Persistence (f),Confidence in persistence ,Qsource (kg/hr),sQ  (kg/hr)
S00708,35.2548,-119.3814,FLD000140,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,5,0.2,0.8,28.5,9
S00709,35.5258,-119.0794,FAB001439,oil/gas tank,1B2 Oil & Natural Gas,15,0.13,1,34.7,7.8
S00710,35.531,-119.0722,FLD000344,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,14,0.07,1,8.4,0.4
S00711,35.5192,-119.0774,FAB001489,oil/gas tank,1B2 Oil & Natural Gas,15,0.07,1,17.3,2
S00712,35.4193,-119.0083,REF000023,oil/gas tank,1B2 Oil & Natural Gas,14,0.21,1,34.4,9.7
S00713,35.1659,-119.0998,DAF000177,dairy/manure,3A2 Manure Management,35,0.09,1,6.5,1.3
S00714,35.3209,-119.5209,FAB002269,oil/gas tank,1B2 Oil & Natural Gas,5,0.6,0.8,244.4,60
S00716,35.3142,-119.5762,FLD000140,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,6,0.17,0.8,98.3,22.1
S00717,35.2716,-119.409,FLD000140,oil/gas gathering line,1B2 Oil & Natural Gas,11,0.09,1,11.2,7.5
S00718,35.2492,-119.1171,DAF001675,dairy/manure - digester,3A2 Manure Management,8,0.13,0.9,42.4,17.6
S00719,35.2143,-119.2034,DAF000983,dairy/manure - digester,3A2 Manure Management,11,0.36,1,60.8,10.5
S00720,35.203,-119.1979,DAF001627,dairy/manure - digester,3A2 Manure Management,11,0.27,1,95.6,38.1
S00721,35.2744,-119.3773,FLD000140,oil/gas pumpjack,1B2 Oil & Natural Gas,8,0.13,0.9,49,29.3
S00722,35.2956,-119.5922,PWP000215,oil/gas pumpjack,1B2 Oil & Natural Gas,7,0.14,0.9,73.6,22.4
S00723,35.2966,-119.5375,FLD000140,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,10,0.1,0.9,43.3,3.1
S00724,38.7769,-121.8822,CMP000274,compost,4A1 Managed Waste Disposal Sites,4,1,0.7,794.6,187.2
S00725,37.8608,-120.9634,DAF000658,dairy/manure,3A2 Manure Management,4,0.5,0.7,65.1,24.5
S00726,37.8674,-121.0381,DAF001714,dairy/manure,3A2 Manure Management,2,0.5,0.4,95.9,22.4
S00727,37.8727,-121.0573,DAF000488,dairy/manure,3A2 Manure Management,2,0.5,0.4,63.7,36.2
S00728,37.8088,-121.03,DAF000637,dairy/manure,3A2 Manure Management,2,0.5,0.4,101.9,17.6
S00729,37.8253,-121.0744,DAF000330,dairy/manure,3A2 Manure Management,6,0.17,0.8,82.4,25
S00732,38.0357,-122.2544,REF000014,refinery,1A1 Energy Industries,13,0.23,1,16.3,7.6
S00733,37.4244,-121.9321,PWP000230,powerplant,1A1 Energy Industries,8,0.38,0.9,41.2,14.8
S00734,37.4296,-121.9485,LNF000442,wastewater treatment,4D1 Domestic Wastewater Treatment & Discharge,19,0.05,1,9.6,2.9
S00740,34.7139,-114.4934,COM000472,gas compressor,1B2 Oil & Natural Gas,1,1,0.3,40.7,19.4
S00742,35.2546,-119.2858,NPP000024,gas processing plant,1B2 Oil & Natural Gas,1,1,0.3,96.5,13.9
S00743,35.414,-119.2013,DAF000035,dairy/manure,3A2 Manure Management,2,0.5,0.4,75.2,26.7
S00744,35.3175,-119.6711,FLD000277,oil/gas pumpjack,1B2 Oil & Natural Gas,12,0.42,1,80.1,29.7
S00745,35.3189,-119.6664,FLD000277,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,11,0.45,1,49,12.5
S00746,35.3187,-119.6601,FLD000277,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,11,0.09,1,15,3.9
S00747,35.3067,-119.7093,FLD000023,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,3,0.33,0.6,69.3,34.1
S00748,35.3009,-119.6904,FLD000023,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,4,0.25,0.7,16.2,6.1
S00749,34.4449,-118.5874,NSF000003,gas storage facility,1B2 Oil & Natural Gas,66,0.06,1,10.6,2.6
S00751,35.4899,-119.0309,FLD000207,oil/gas gathering line,1B2 Oil & Natural Gas,10,0.1,0.9,18.4,7
S00753,35.3984,-119.1765,UNKNOWN,oil/gas tank,1B2 Oil & Natural Gas,6,0.33,0.8,62.2,15.8
S00754,35.4919,-118.8971,FAB002140,oil/gas tank,1B2 Oil & Natural Gas,7,0.14,0.9,47.9,7.8
S00755,35.6032,-119.7053,FAB000823,oil/gas tank,1B2 Oil & Natural Gas,3,0.67,0.6,224.2,56.1
S00760,34.4459,-118.5868,NSF000003,gas storage facility,1B2 Oil & Natural Gas,66,0.03,1,3.4,1
S00772,34.3127,-118.5507,NSF000001,oil/gas drill rig,1B2 Oil & Natural Gas,48,0.02,1,5.1,3
S00773,34.3214,-118.5823,NSF000001,oil/gas pumpjack,1B2 Oil & Natural Gas,29,0.07,1,50.2,10.7
S00775,35.369,-119.1813,NA,gas distribution line,1B2 Oil & Natural Gas,1,1,0.3,39.8,17.4
S00776,35.4946,-118.8967,FLD000380,oil/gas gathering line,1B2 Oil & Natural Gas,7,0.14,0.9,35.5,7.5
S00778,39.5606,-122.0372,FLD000506,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,1,1,0.3,176,34.7
S00780,35.4138,-119.6994,FLD000028,oil/gas gathering line,1B2 Oil & Natural Gas,3,0.33,0.6,115.8,25.8
S00781,35.4169,-119.7023,FLD000028,oil/gas tank,1B2 Oil & Natural Gas,3,0.33,0.6,210.3,66.9
S00782,34.3946,-118.8199,NA,compost,4A1 Managed Waste Disposal Sites,3,1,0.6,467.8,237.4
S00783,35.3173,-119.255,FAB001798,oil/gas tank,1B2 Oil & Natural Gas,1,1,0.3,66.1,7.9
S00784,33.8632,-118.2445,FAB002313,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,11,0.18,1,67.3,33.7
S00785,33.842,-118.2375,REF000018,refinery,1A1 Energy Industries,13,0.08,1,4,2.2
S00786,33.8138,-118.236,REF000021,refinery,1A1 Energy Industries,16,0.13,1,19.8,5.7
S00788,33.8172,-118.2355,REF000021,refinery,1A1 Energy Industries,14,0.21,1,26.3,9.3
S00789,33.7403,-118.1391,FAB002851,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,4,0.25,0.7,13.6,3.6
S00790,36.1638,-120.395,FLD000090,oil/gas gathering line,1B2 Oil & Natural Gas,4,0.5,0.7,87.5,16.5
S00791,36.2415,-120.3717,FLD000090,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,4,0.25,0.7,52,13.6
S00792,36.0739,-120.1485,FLD000212,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,3,0.33,0.6,32.3,6.9
S00794,37.4511,-120.7728,DAF000842,dairy/manure,3A2 Manure Management,4,0.75,0.7,281.5,123.9
S00795,37.474,-120.7717,DAF000458,dairy/manure,3A2 Manure Management,1,1,0.3,218.2,46.3
S00797,35.3645,-119.6707,FLD000112,oil/gas gathering line,1B2 Oil & Natural Gas,7,0.14,0.9,41.2,10
S00802,33.9133,-118.4111,REF000005,refinery,1A1 Energy Industries,16,0.06,1,8.7,3.4
S00810,33.9279,-118.4292,WWT000068,wastewater treatment,4D1 Domestic Wastewater Treatment & Discharge,12,0.17,1,61.9,19.9
S00816,38.932,-121.916,FLD000042,oil/gas tank,1B2 Oil & Natural Gas,1,1,0.3,92,26.3
S00817,38.9387,-121.9152,FLD000042,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,1,1,0.3,70.7,21.8
S00819,33.6466,-117.9782,FLD000308,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,8,0.13,0.9,74.4,36.5
S00820,33.6382,-117.957,WWT000087,wastewater treatment,4D1 Domestic Wastewater Treatment & Discharge,7,0.14,0.9,58.5,31.7
S00821,34.0055,-118.3763,FLD000199,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,8,0.25,0.9,12.5,5.8
S00822,34.0052,-118.3768,FLD000199,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,8,0.13,0.9,36.8,12.3
S00823,34.0117,-118.3745,FLD000199,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,6,0.17,0.8,53.9,11
S00826,35.496,-119.009,COM000260,oil/gas stack,1B2 Oil & Natural Gas,10,0.2,0.9,41.6,16.1
S00827,35.4733,-119.0582,FAB003082,oil/gas tank,1B2 Oil & Natural Gas,19,0.32,1,58.4,18.8
S00828,35.5093,-119.0365,FLD000207,oil/gas tank,1B2 Oil & Natural Gas,8,0.25,0.9,107.2,11
S00829,35.531,-119.0743,FLD000344,oil/gas tank,1B2 Oil & Natural Gas,17,0.06,1,17.7,16.8
S00830,35.5625,-119.0988,FAB001856,oil/gas tank,1B2 Oil & Natural Gas,6,0.17,0.8,15.9,2.8
S00832,35.5351,-119.0843,FLD000344,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,19,0.05,1,5.4,1.5
S00833,35.554,-119.0961,FAB001479,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,7,0.14,0.9,18.9,3.7
S00834,35.454,-119.018,FLD000208,oil/gas pumpjack,1B2 Oil & Natural Gas,9,0.11,0.9,27.3,3.8
S00835,35.4431,-119.0031,FLD000208,oil/gas pumpjack,1B2 Oil & Natural Gas,8,0.13,0.9,20,4.4
S00836,35.4418,-119.0037,FLD000208,oil/gas pumpjack,1B2 Oil & Natural Gas,8,0.13,0.9,11.2,0.9
S00839,35.4706,-119.0394,FAB003100,oil/gas tank,1B2 Oil & Natural Gas,9,0.11,0.9,16.8,1.7
S00840,35.5365,-119.0779,FAB001430,oil/gas tank,1B2 Oil & Natural Gas,16,0.13,1,53.4,19.5
S00841,35.5539,-119.0969,FAB001479,oil/gas tank,1B2 Oil & Natural Gas,7,0.14,0.9,42,13.2
S00842,35.4372,-119.0091,FAB001035,oil/gas tank,1B2 Oil & Natural Gas,9,0.11,0.9,16.8,1.5
S00845,37.5289,-120.9541,DAF000451,dairy/manure,3A2 Manure Management,5,0.4,0.8,120.8,33.3
S00846,37.5363,-120.952,DAF000032,dairy/manure,3A2 Manure Management,4,1,0.7,212.9,138.8
S00847,37.5693,-120.9772,DAF001102,dairy/manure,3A2 Manure Management,1,1,0.3,79.8,33.7
S00848,32.7808,-117.0435,WWT000149,wastewater treatment,4D1 Domestic Wastewater Treatment & Discharge,2,0.5,0.4,50,11.1
S00850,37.8357,-121.2686,NA,oil/gas tank,1B2 Oil & Natural Gas,1,1,0.3,96.4,26.9
S00852,33.8456,-118.2381,REF000018,refinery,1A1 Energy Industries,13,0.08,1,65.8,30.9
S00853,35.5622,-119.6967,FLD000265,oil/gas pumpjack,1B2 Oil & Natural Gas,3,0.33,0.6,33.1,12.2
S00855,35.6424,-119.7466,FLD000265,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,3,0.33,0.6,67.8,13.5
S00858,35.3026,-119.6898,FLD000023,oil/gas gathering line,1B2 Oil & Natural Gas,3,0.67,0.6,344.3,165.6
S00861,35.3165,-119.6716,FLD000277,oil/gas pumpjack,1B2 Oil & Natural Gas,10,0.4,0.9,46.6,14.5
S00862,35.3162,-119.6699,FLD000277,oil/gas pumpjack,1B2 Oil & Natural Gas,10,0.5,0.9,43.2,11.1
S00865,35.2931,-119.5697,FLD000018,oil/gas gathering line,1B2 Oil & Natural Gas,11,0.36,1,117.2,47.6
S00866,35.3133,-119.5678,FLD000140,oil/gas pumpjack,1B2 Oil & Natural Gas,6,0.17,0.8,14.1,10.8
S00868,35.2735,-119.3936,FLD000140,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,13,0.08,1,20.2,6.2
S00869,35.347,-119.6575,FLD000112,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,8,0.63,0.9,27.7,17.8
S00870,35.3238,-119.6774,FLD000277,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,6,0.17,0.8,19.4,6.9
S00871,35.023,-119.0737,NA,oil/gas gathering line,1B2 Oil & Natural Gas,7,0.29,0.9,360,115.6
